date,open,high,low,close,volume
2015-04-27,219.52,229.93,217.52,227.23,13816.491480529976
2015-04-28,227.17,227.56,221.45,225.16,9345.783207410059
2015-04-29,225.18,226.99,221.81,225.48,8668.360649539996
2015-04-30,225.5,240.0,224.6,236.2,12490.20235984004
2015-05-01,236.47,239.23,230.51,231.0,6687.123359190013
2015-05-02,231.05,234.9,229.87,233.83,4350.059067710029
2015-05-03,233.83,242.25,232.31,239.0,4407.814167180011
2015-05-04,239.73,242.2,236.07,238.34,7504.688753920009
2015-05-05,238.22,238.78,229.66,235.12,8621.547318570012
2015-05-06,235.18,235.94,227.01,228.49,8623.827212040027
2015-05-07,228.34,240.0,227.35,236.87,11062.649120119919
2015-05-08,236.92,246.57,235.29,243.2,9486.754967649975
2015-05-09,243.22,247.01,238.62,241.96,5499.606159150001
2015-05-10,241.83,244.99,238.02,239.13,3520.242208770008
2015-05-11,239.13,244.51,237.99,241.3,9690.639486320013
2015-05-12,241.3,242.0,237.54,241.03,8418.715682489998
2015-05-13,241.03,244.14,235.06,235.97,9332.466305359987
2015-05-14,235.97,239.7,232.22,237.13,7530.500808300037
2015-05-15,237.12,239.28,235.12,237.37,4536.928961439998
2015-05-16,237.39,237.4,234.0,235.66,3116.789473319997
2015-05-17,235.43,237.0,234.15,235.97,2645.1614079500046
2015-05-18,235.69,236.94,231.44,232.87,7443.21982028001
2015-05-19,233.03,234.24,230.86,231.4,5568.276798150018
2015-05-20,231.4,234.86,231.0,234.43,7823.356629160018
2015-05-21,234.4,236.52,233.75,235.0,4609.281226770037
2015-05-22,235.0,240.9,232.92,238.99,10451.799484459916
2015-05-23,238.8,240.67,237.4,237.76,3216.2798189200003
2015-05-24,237.87,241.64,237.66,239.22,2921.547971119997
2015-05-25,239.69,240.1,233.1,235.59,5625.087056979998
2015-05-26,235.72,237.96,234.0,235.71,8590.075766950024
2015-05-27,235.71,237.35,234.0,235.17,8572.873488530016
2015-05-28,235.32,236.8,234.87,236.46,5005.980783570033
2015-05-29,236.46,236.52,234.0,236.03,6165.8914125699785
2015-05-30,236.03,236.03,231.0,232.11,4245.944468179998
2015-05-31,232.11,232.51,228.0,228.91,4372.208309700004
2015-06-01,228.91,231.2,220.65,223.51,12184.962543799998
2015-06-02,223.5,226.38,221.34,225.18,7744.8786159200345
2015-06-03,225.17,226.99,222.57,224.27,5815.5731607299795
2015-06-04,224.8,225.98,222.0,222.99,4822.409109930045
2015-06-05,222.99,225.9,219.03,224.4,8396.712861650081
2015-06-06,224.4,225.26,223.07,224.99,2772.331162799996
2015-06-07,224.95,225.48,221.86,222.7,3324.38263426999
2015-06-08,222.65,229.4,222.31,228.17,8986.866923409598
2015-06-09,228.05,230.79,226.67,228.7,9129.707887140014
2015-06-10,228.7,229.75,226.83,227.8,6284.740683359942
2015-06-11,227.88,229.57,227.25,229.03,4727.314859749736
2015-06-12,229.14,230.7,228.29,229.4,5887.148287019725
2015-06-13,229.3,232.04,228.06,231.64,4009.804638049933
2015-06-14,231.64,234.0,230.94,232.09,3586.2811384897127
2015-06-15,232.08,237.09,231.55,235.92,10505.584655159992
2015-06-16,236.0,252.05,234.35,250.09,17954.593812440904
2015-06-17,250.02,257.39,243.2,247.76,16951.141314270462
2015-06-18,247.76,251.58,240.0,248.4,11145.129805749757
2015-06-19,248.45,249.93,242.14,243.7,6783.074992630039
2015-06-20,243.75,245.56,239.93,244.76,4434.687060150017
2015-06-21,244.65,245.0,241.06,243.64,1946.293030019985
2015-06-22,243.6,247.99,242.64,246.0,5149.763858509912
2015-06-23,245.99,247.25,242.14,243.74,4953.903396189867
2015-06-24,243.85,243.99,238.2,240.19,6723.31332442992
2015-06-25,240.19,242.9,239.18,241.98,5002.931302180501
2015-06-26,242.08,243.44,240.0,242.98,5271.851065509681
2015-06-27,242.98,252.0,242.36,251.21,7101.102704350117
2015-06-28,251.28,251.28,247.04,248.62,6104.312202930023
2015-06-29,248.63,256.94,248.3,256.04,15393.104327000716
2015-06-30,256.04,268.0,255.0,262.5,19902.443844221045
2015-07-01,262.58,265.25,253.81,257.62,13395.153438940128
2015-07-02,257.62,260.77,253.19,254.54,9826.994781180016
2015-07-03,254.49,256.44,252.4,255.92,9153.852565450003
2015-07-04,256.06,261.28,254.05,260.2,7909.856728630001
2015-07-05,260.16,274.74,258.75,271.5,21362.613649840107
2015-07-06,271.39,278.54,267.13,268.51,20027.86146802978
2015-07-07,268.53,271.69,264.01,265.51,13755.629975860056
2015-07-08,265.67,273.24,263.01,270.63,16042.26828995007
2015-07-09,270.41,271.98,265.92,268.92,13906.644451220056
2015-07-10,268.98,294.71,268.63,285.23,29151.313352799876
2015-07-11,284.63,298.05,283.88,291.64,11693.224353909984
2015-07-12,291.65,317.99,291.65,310.55,22497.46770683991
2015-07-13,310.55,310.73,281.0,292.68,29775.979071889855
2015-07-14,292.54,297.13,286.02,287.55,10361.079583359995
2015-07-15,287.49,293.7,284.29,285.67,9798.37507572998
2015-07-16,285.67,292.4,274.92,277.89,21103.341586450068
2015-07-17,277.74,280.73,272.31,279.43,11477.05542457001
2015-07-18,279.15,283.0,276.73,276.79,9362.077818040014
2015-07-19,276.74,278.1,275.01,275.47,5289.040820069995
2015-07-20,275.08,279.35,274.62,278.96,8818.5286345601
2015-07-21,278.95,281.07,276.28,276.76,9000.55491406003
2015-07-22,276.49,277.97,275.0,277.68,8318.46305673002
2015-07-23,277.5,278.55,275.79,276.61,6439.612933260014
2015-07-24,276.61,290.53,275.9,289.01,15854.096558130048
2015-07-25,289.0,292.0,286.5,288.78,7545.885436930009
2015-07-26,288.97,294.0,287.41,293.19,5298.466507190017
2015-07-27,292.85,297.44,286.43,294.29,14650.732870480038
2015-07-28,294.03,297.0,292.19,294.01,8799.043076750017
2015-07-29,294.01,294.57,287.27,289.85,10236.162521980017
2015-07-30,289.85,290.08,284.53,288.01,8108.621191630018
2015-07-31,288.29,289.0,281.8,284.33,7902.767537250006
2015-08-01,284.69,285.16,276.66,280.19,7104.066619420011
2015-08-02,280.19,282.9,276.57,282.32,4530.177313739994
2015-08-03,282.53,285.8,279.52,280.43,6310.6073654999855
2015-08-04,280.43,285.88,280.43,285.0,6206.118343720009
2015-08-05,284.91,285.86,280.63,281.13,6549.546263790015
2015-08-06,281.13,281.65,276.6,277.48,7123.812523400002
2015-08-07,277.48,280.43,274.19,279.63,8664.809049210016
2015-08-08,279.94,279.97,260.41,262.19,10269.868457120021
2015-08-09,262.19,268.95,261.01,265.05,8870.579578440027
2015-08-10,265.05,266.79,261.6,264.33,9697.419764049986
2015-08-11,264.11,271.5,264.07,271.15,8394.115749899975
2015-08-12,271.15,271.16,265.71,267.73,9520.31458101999
2015-08-13,267.53,267.88,262.32,264.48,10710.974199410006
2015-08-14,264.74,266.99,262.0,265.4,8012.603053400001
2015-08-15,265.57,266.5,260.45,261.46,5485.630521390007
2015-08-16,261.46,262.2,254.01,256.11,9633.275768040021
2015-08-17,256.11,259.12,254.63,256.47,8655.189804819958
2015-08-18,256.66,256.99,221.11,224.8,16141.820382540098
2015-08-19,224.0,237.66,222.01,226.92,24295.072555089988
2015-08-20,226.4,236.66,226.4,235.54,15812.334744199985
2015-08-21,235.15,236.66,231.77,233.49,10296.317503329969
2015-08-22,233.5,235.2,223.01,231.0,15856.245550210042
2015-08-23,231.0,234.03,225.85,228.89,12842.466691189988
2015-08-24,228.35,228.99,207.73,209.72,37523.08338374001
2015-08-25,209.76,228.04,198.12,222.38,42308.0056294596
2015-08-26,222.38,231.09,219.77,225.8,24007.59520405995
2015-08-27,225.8,228.89,223.17,225.09,14366.26383499014
2015-08-28,225.09,235.93,220.29,231.65,22900.186944530004
2015-08-29,231.76,233.9,226.67,230.54,15490.559191360258
2015-08-30,230.41,232.75,225.04,229.0,15486.359944620055
2015-08-31,229.04,232.49,224.39,229.86,15803.518855140039
2015-09-01,230.25,231.67,226.17,227.96,23925.186846400116
2015-09-02,227.97,230.77,226.0,229.18,21470.76882886985
2015-09-03,228.95,229.96,226.5,227.28,19739.62910007002
2015-09-04,227.24,231.4,226.33,230.52,20870.016194200063
2015-09-05,230.72,237.22,229.23,235.6,20103.040090889914
2015-09-06,235.39,244.2,235.02,240.28,25758.891828910073
2015-09-07,240.28,242.91,238.44,240.19,23152.03156204007
2015-09-08,240.07,246.24,239.98,244.21,24023.879060829986
2015-09-09,244.04,244.22,237.01,238.35,23251.865544339977
2015-09-10,238.35,241.65,234.78,238.66,20694.91915142003
